Date,Year,Event,Event description,Period_ID,SongID,EventID
1891-03-09 00:00:00.000,"- 1891","Francis Pegahmagabow was born","Francis Pegahmagabow concluded WWI as one of only 37 Canadian soldiers to receive two bars on their Military Medals and was the most highly decorated aboriginal soldier in Canadian history. He was credited with 378 sniper kills and he captured over 300 prisoners.",5,20,27
1943-02-27 00:00:00.000,"- 1943","Operation Gunnerside","Operation Gunnerside was one of the most successful sabotage missions in history. By blowing up a production facility at Norway’s Vermork Hydroelectric Plant, the saboteurs thwarted Hitler’s efforts to produce the materials needed for an atomic bomb.",7,103,21
1973-10-05 00:00:00.000,"- 1973","Milunka Savić dies","A celebrated Serbian war hero, Milunka Savić is one of the world's most decorated female combatants who fought in both Balkan Wars and WWI. She is known for cutting off her hair and changing her appearance to look like a man in order to take her brother’s place in the army.",5,21,75
1631-09-17 00:00:00.000,"- 1631","Battle of Breitenfeld","Led by King Gustav II Adolf, the Swedish army took on the Catholic League and the Habsburg Imperial Army on September 17, 1631, in an open field near the village of Breitenfeld. After seven hours of battle, the Swedish-Saxon army was victorious.",3,75,22
1631-09-17 00:00:00.000,"- 1631","Battle of Breitenfeld","Led by King Gustav II Adolf, the Swedish army took on the Catholic League and the Habsburg Imperial Army on September 17, 1631, in an open field near the village of Breitenfeld. After seven hours of battle, the Swedish-Saxon army was victorious.",3,88,22
1915-10-07 00:00:00.000,"- 1915","The Defence of Belgrade","Following the complete failure of the Austro-Hungarian invasion of Serbia in 1914 during World War I, it was time for the Imperial army to try again the following year. On October 9, 1915, the fall of Belgrade was declared.",5,22,49
1915-03-02 00:00:00.000,"- 1915","First Stormtrooper unit authorised on the Western Front","The Stormtroopers were specialist soldiers of the German Army who used precise infiltration tactics to target their enemies during WWI. During their assaults they would apply a deadly mix of shock, surprise and ultra violence.",5,31,23
1963-06-05 00:00:00.000,"- 1963","Sir Adrian Carton de Wiart dies","A man with war in his blood, Sir Adrian Carton De Wiart was of Belgian heritage but fought for the British Empire during WW1. Throughout his stints at war, he was injured multiple times, and despite the severity of his wounds, survived. He became known as the ‘man who could not be killed’.",5,23,64
1618-05-23 00:00:00.000,"- 1618","Bohemian Revolt starts 30 Years’ War","The people of Bohemia disliked their childless king’s choice of heir and elected their own prince. When the appointed heir sent representatives to Prague Castle, rebels threw them from a window, starting Europe’s bloodiest pre-20th Century war.",3,76,24
1935-05-19 00:00:00.000,"- 1935","Thomas Edward Lawrence dies","Thomas Edward Lawrence, known as the legendary Lawrence of Arabia, was deemed by the British public as a modern-day Robin Hood. His tale was a tale of courageous fighting, of distant journeys and exotic oriental adventure. He was assigned to the British officer corps in Egypt and was renowned for his role in the Arab Revolt and the Sinai and Palestine Campaign against the Ottoman Empire.",5,24,50
