Date,Year,Event,Event description,Period_ID,SongID,EventID
1970-02-13 00:00:00.000,"- 1970","The birth of Heavy Metal","The birth date for Heavy Metal might as well be February 13, 1970, when Black Sabbath dropped their groundbreaking debut album, which took the blues-heavy Rock n Roll sound of the late 60s and put a harder, gloomier and occult spin on things.",11,152,98
1944-06-06 00:00:00.000,"- 1944","D-Day landings","The famous landings on the beaches of Normandy started Operation Overlord, the Allied invasion of German-occupied France. Winning this crucial battle gave the Allies a foothold from which to start pushing back the Nazis and turning the tide of WWII.",7,157,65
1944-08-30 00:00:00.000,"- 1944","Operation Overlord ends","Operation Overlord, the Allied invasion of Nazi-occupied France, began with the D-Day beach landings. After a slow start the Allies pushed the Germans back until Paris was liberated and the Germans retreated across the River Seine.",7,157,66
1944-06-06 00:00:00.000,"- 1944","D-Day landings","The famous landings on the beaches of Normandy started Operation Overlord, the Allied invasion of German-occupied France. Winning this crucial battle gave the Allies a foothold from which to start pushing back the Nazis and turning the tide of WWII.",7,158,65
1944-08-30 00:00:00.000,"- 1944","Operation Overlord ends","Operation Overlord, the Allied invasion of Nazi-occupied France, began with the D-Day beach landings. After a slow start the Allies pushed the Germans back until Paris was liberated and the Germans retreated across the River Seine.",7,158,66
1990-08-02 00:00:00.000,"- 1990","The Gulf War begins","The Gulf War began on August 2, 1990 and concluded on February 28, 1991 after 1,000 hours of war in the air and 100 hours of fighting on the ground. 35 nations, led by the USA, had defeated Iraq, which was armed with one of the largest armies on the planet.",8,159,83
2003-03-20 00:00:00.000,"- 2003","Launch of Operation Iraqi Freedom","The US codename for the invasion of Iraq by the USA and allies, with the aim of ending dictator Saddam Hussein’s regime. The invasion was swift and the capital Baghdad fell within 20 days, but US military presence in Iraq would continue until 2011.",9,160,31
1942-05-11 00:00:00.000,"- 1942","Attack on convoy ON 92","Merchant ship convoy ON 92, en route to America from Britain, was detected by Wolfpack Hecht, a group of Nazi U-boats (submarines) patrolling the north Atlantic. Seven ships were sunk before the Wolfpack lost contact with them on May 13.",7,161,48
1967-06-10 00:00:00.000,"- 1967","The Six-Day War ends","Already fragile peace in the Middle East was broken when Egypt closed a major shipping canal to Israeli vessels. Israel declared war, launching pre-emptive airstrikes. Jordan and Syria intervened, but all three nations were defeated, losing 20,000 troops.",8,162,68
1942-08-23 00:00:00.000,"- 1942","Battle of Stalingrad begins","The largest battle in war history was an attempt by the Axis powers of WWII to capture the city of Stalingrad. The invaders were repelled by Soviet forces, but not before the city was destroyed and up to 2 million people killed, wounded or captured.",7,163,84
1955-11-01 00:00:00.000,"- 1955","Start of Vietnam War","Officially a war between North and South Vietnam, countries around the world became involved, most notably the USA. Nearly 60,000 US troops died, and some tactics used in the war – such as chemical defoliation – remain controversial to this day.",8,164,96
1932-02-22 00:00:00.000,"- 1932","First Purple Heart awarded","The Purple Heart is a medal given to US Armed Forces members who have been wounded or killed by enemy action. The first Purple Heart was awarded to Army Chief of Staff General Douglas MacArthur, who spearheaded the design and launch of the medal.",10,165,18
1974-09-06 00:00:00.000,"- 1974","Judas Priest releases debut album “Rocka Rolla”","On September 6, 1974, Judas Priest unleashed their debut album 'Rocka Rolla'. They proudly embodied the old working-class flair of their hometowns and defined the sound of Heavy Metal with the fast-paced power of double guitars.",11,166,97
1914-08-01 00:00:00.000,"- 1914","Europe marches to war","In August 1914, Europe marched to war. The sound of heavy boots moving in unison could be heard, while proud banners flew above the soldiers. A short war was anticipated but a short war was not what they got.",,167,105
1955-11-01 00:00:00.000,"- 1955","Start of Vietnam War","Officially a war between North and South Vietnam, countries around the world became involved, most notably the USA. Nearly 60,000 US troops died, and some tactics used in the war – such as chemical defoliation – remain controversial to this day.",8,169,96
1945-04-30 00:00:00.000,"- 1945","Death of Hitler","There was no glorious ending for the man responsible for the bloodiest war in human history. With the German capital Berlin crippled by a massive Soviet attack and on the verge of falling, Hitler retired to his study and shot himself.",6,170,43
1944-01-17 00:00:00.000,"- 1944","Battle of Monte Cassino begins","The Battle of Monte Cassino began on January 17 and concluded on May 18, 1944. It entailed four Allied assaults against the Winter Line (a series of German and Italian military fortifications) in Italy during WWII. The battle resulted in 55,000 Allied deaths and 20,000 killed and wounded Germans.",,,102
1879-01-22 00:00:00.000,"- 1879","The Battle of Rorke’s Drift","For two days, 150 British and colonial soldiers defended Rorke’s Drift mission station in South Africa from up to 4,000 Zulu warriors. Eleven defenders were awarded the Victoria Cross medal – the most ever given for a single action by one regiment.",,,103
1655-11-24 00:00:00.000,"- 1655","Charles XI of Sweden was born","King Charles XI of Sweden reigned until his death in 1697. He was fundamental to the development of the Caroleans, who were considered the elite warriors of Europe in their day. They won great battles with their innovative and superior tactics.",,,108
