Concert,Date,Venue,Location,Index
"Sabaton",2012-07-13 00:00:00.000,"Messegelände","Balingen, Germany",644
"Sabaton",2012-07-14 00:00:00.000,"Messegelände","Balingen, Germany",643
"Sabaton",2012-08-02 00:00:00.000,"MÁV Előre pálya","Székesfehérvár, Fejér, Hungary",638
"Sabaton",2012-08-09 00:00:00.000,"Betonwerk Mittelbach","Chemnitz, Saxony, Germany",634
"Sabaton",2012-08-11 00:00:00.000,"Sninské Rybníky","Snina, Slovakia",632
"Sabaton",2012-08-16 00:00:00.000,"Rockstad Falun 2012","Falun, Dalarna, Sweden",631
"Sabaton",2012-08-18 00:00:00.000,"Rockstad Falun 2012","Falun, Dalarna, Sweden",631
"Sabaton",2012-08-30 00:00:00.000,"Reading 3","Tel Aviv, Tel Aviv, Israel",629
"Sabaton",2012-04-30 00:00:00.000,"The Altar Bar","Pittsburgh, Pennsylvania, United States",628
"Sabaton",2012-05-02 00:00:00.000,"The Loft","Poughkeepsie, New York, United States",627
"Sabaton",2012-05-03 00:00:00.000,"Trocadero Theatre","Philadelphia, Pennsylvania, United States",626
"Sabaton",2012-05-04 00:00:00.000,"Gramercy Theatre","New York, New York, United States",625
"Sabaton",2012-05-05 00:00:00.000,"The Worcester Palladium","Worcester, Massachusetts, United States",624
"Sabaton",2012-05-07 00:00:00.000,"Petit Campus","Montreal, Quebec, Canada",623
"Sabaton",2012-05-08 00:00:00.000,"Imperial De Quebec","Québec, Quebec, Canada",622
"Sabaton",2012-05-10 00:00:00.000,"CODA","Toronto, Ontario, Canada",621
"Sabaton",2012-05-11 00:00:00.000,"London Music Hall","London, Ontario, Canada",620
"Sabaton",2012-05-12 00:00:00.000,"Alrosa Villa","Columbus, Ohio, United States",619
"Sabaton",2012-05-13 00:00:00.000,"Blondies","Detroit, Michigan, United States",618
"Sabaton",2012-05-16 00:00:00.000,"reggies rock club","Chicago, Illinois, United States",616
"Sabaton",2012-05-18 00:00:00.000,"Vernon Club","Louisville, Kentucky, United States",615
"Sabaton",2012-05-19 00:00:00.000,"Kingdom Sounds","Richmond, Virginia, United States",614
"Sabaton",2012-05-20 00:00:00.000,"Baltimore Soundstage","Baltimore, Maryland, United States",613
"Sabaton",2012-05-21 00:00:00.000,"Jaxx","West Springfield, Virginia, United States",612
"Sabaton",2012-05-25 00:00:00.000,"El Circo Volador","Mexico City, Mexico City, Mexico",610
"Sabaton",2012-05-29 00:00:00.000,"Progresja","Warsaw, Mazovia, Poland",609
"Sabaton",2011-12-18 00:00:00.000,"Muziekcentrum Trix","Antwerp, Flanders, Belgium",607
"Sabaton",2012-04-10 00:00:00.000,"Brass Mug","Tampa, Florida, United States",603
"Sabaton",2012-04-12 00:00:00.000,"Scout Bar","Houston, Texas, United States",602
"Sabaton",2012-04-14 00:00:00.000,"Scout Bar","Houston, Texas, United States",600
"Sabaton",2012-04-15 00:00:00.000,"Alamo City Music Hall","San Antonio, Texas, United States",598
"Sabaton",2012-04-17 00:00:00.000,"Wreckers","Lubbock, Texas, United States",597
"Sabaton",2012-04-18 00:00:00.000,"Bluebird Theater","Denver, Colorado, United States",596
"Sabaton",2012-04-19 00:00:00.000,"Beaumont Club","Kansas City, Missouri, United States",595
"Sabaton",2012-04-20 00:00:00.000,"Spicoli's Grill","Waterloo, Iowa, United States",594
"Sabaton",2012-04-22 00:00:00.000,"The Firebird","St Louis, Missouri, United States",593
"Sabaton",2012-04-23 00:00:00.000,"The Rave/Eagles Club","Milwaukee, Wisconsin, United States",592
"Sabaton",2012-04-25 00:00:00.000,"The Casbah","Charlotte, North Carolina, United States",591
"Sabaton",2012-04-27 00:00:00.000,"Bogies","Albany, New York, United States",590
"Sabaton",2012-04-28 00:00:00.000,"Broadway Joe's Bar","Buffalo, New York, United States",589
"Sabaton",2012-04-29 00:00:00.000,"Peabody's DownUnder","Cleveland, Ohio, United States",588
"Sabaton",2011-10-04 00:00:00.000,"Culture Room","Fort Lauderdale, Florida, United States",580
"Sabaton",2011-10-14 00:00:00.000,"Alamo City Music Hall","San Antonio, Texas, United States",571
"Sabaton",2011-10-16 00:00:00.000,"The Masquerade","Atlanta, Georgia, United States",570
"Sabaton",2011-10-17 00:00:00.000,"Jaxx","West Springfield, Virginia, United States",569
"Sabaton",2011-08-30 00:00:00.000,"Empik Junior","Warsaw, Mazovia, Poland",567
"Sabaton",2011-09-05 00:00:00.000,"Piano Club","Trenčín, Trenčiansky kraj, Slovak Republic",563
"Sabaton",2011-09-07 00:00:00.000,"Arena Vienna","Vienna, Vienna, Austria",562
"Sabaton",2011-09-08 00:00:00.000,"Backstage","Munich, Bavaria, Germany",561
"Sabaton",2011-09-09 00:00:00.000,"LKA Longhorn","Stuttgart, Baden-Württemberg, Germany",560
"Sabaton",2011-09-10 00:00:00.000,"Posthalle","Wurzburg, Germany",559
"Sabaton",2011-09-11 00:00:00.000,"Effenaar","Eindhoven, North Brabant, Netherlands",558
"Sabaton",2011-09-13 00:00:00.000,"Volkshaus","Zurich, Zurich, Switzerland",557
"Sabaton",2011-09-14 00:00:00.000,"Garage","Saarbrucken, Germany",556
"Sabaton",2011-09-15 00:00:00.000,"Markthalle","Hamburg, Hamburg, Germany",555
"Sabaton",2011-09-16 00:00:00.000,"Hellraiser","Leipzig, Saxony, Germany",554
"Sabaton",2011-09-17 00:00:00.000,"Turbinenhalle Oberhausen","Oberhausen, North Rhine-Westphalia, Germany",553
"Sabaton",2011-05-27 00:00:00.000,"Schloss Mamling","Mining, Austria",542
"Sabaton",2011-06-05 00:00:00.000,"Amfiteátr Lochotín","Plzeň, Czechia",537
"Sabaton",2011-07-02 00:00:00.000,"Piața Constituției","Bucharest, Bucureşti, Romania",532
