Concert,Date,Venue,Location,Index
"Sabaton",2007-06-28 00:00:00.000,"Folkets Park","Borlänge, Sweden",153
"Sabaton",2007-06-29 00:00:00.000,"Folkets Park","Borlänge, Sweden",152
"Sabaton",2007-07-06 00:00:00.000,"Sástó Camping","Mátrafüred, Hungary",151
"Sabaton",2007-07-07 00:00:00.000,"Szejkefürdő","Odorheiu Secuiesc, Romania",150
"Sabaton",2007-07-14 00:00:00.000,"Folkets Park","Arvika, Värmland, Sweden",147
"Sabaton",2007-07-20 00:00:00.000,"Ostbayernhalle","Rieden, Germany",145
"Sabaton",2007-07-21 00:00:00.000,"Erftauen","Euskirchen, North Rhine-Westphalia, Germany",144
"Sabaton",2007-08-18 00:00:00.000,"Metal Alliance","Offenbach, Hesse, Germany",142
"Sabaton",2007-05-27 00:00:00.000,"Amphitheater Gelsenkirchen","Gelsenkirchen, North Rhine-Westphalia, Germany",123
"Sabaton",2007-01-29 00:00:00.000,"Alcatraz","Milan, Lombardy, Italy",117
"Sabaton",2006-10-14 00:00:00.000,"Rockvallen","Kalmar, Sweden",100
"Sabaton",2006-10-28 00:00:00.000,"Skylten","Linköping, Östergötland, Sweden",98
"Sabaton",2006-11-06 00:00:00.000,"Gamla Tingshuset","Östersund, Sweden",96
"Sabaton",2006-11-18 00:00:00.000,"Folkets Park","Växjö, Sweden",94
"Sabaton",2006-11-24 00:00:00.000,"Silja Galaxy","Stockholm, Stockholm, Sweden",93
"Sabaton",2006-12-16 00:00:00.000,"Musikens Hus","Gothenburg, Västra Götaland, Sweden",90
"Sabaton",2006-12-31 00:00:00.000,"Pub Engelbrekt","Falun, Dalarna, Sweden",89
"Sabaton",2006-08-19 00:00:00.000,"Biebob","Vosselaar, Flanders, Belgium",78
"Sabaton",2006-09-22 00:00:00.000,"Club 23","Berlin, Berlin, Germany",69
"Sabaton",2006-09-30 00:00:00.000,"Nöjesfabriken","Karlstad, Värmland, Sweden",62
"Sabaton",2006-03-12 00:00:00.000,"Växjöparken","Växjö, Sweden",49
"Sabaton",2006-03-30 00:00:00.000,"Folkets Park","Växjö, Sweden",48
"Sabaton",2006-04-12 00:00:00.000,"Eurobowl","Norrköping, Östergötland, Sweden",47
"Sabaton",2006-05-12 00:00:00.000,"Fabriken","Gothenburg, Västra Götaland, Sweden",46
"Sabaton",2006-06-12 00:00:00.000,"KTH","Stockholm, Stockholm, Sweden",45
"Sabaton",2006-07-12 00:00:00.000,"Tivolirock","Kristianstad, Sweden",44
"Sabaton",2006-07-15 00:00:00.000,"Tivoliparken","Kristianstad, Sweden",43
"Sabaton",2006-08-05 00:00:00.000,"Folkets Park","Hultsfred, Kalmar, Sweden",42
"Sabaton",2005-10-22 00:00:00.000,"Fabriken","Gothenburg, Västra Götaland, Sweden",41
"Sabaton",2006-01-24 00:00:00.000,"The Zodiac","Oxford, England, United Kingdom",39
"Sabaton",2006-01-29 00:00:00.000,"Rock City","Nottingham, England, United Kingdom",37
"Sabaton",2003-03-15 00:00:00.000,"East Harbor Café","Falun, Dalarna, Sweden",20
"Sabaton",2003-04-11 00:00:00.000,"Järpen","Järpen, Sweden",19
"Sabaton",2003-07-09 00:00:00.000,"Vansbro Open Air","Vansbro, Sweden",18
"Sabaton",2003-07-11 00:00:00.000,"Folkets Park","Dala-Floda, Sweden",17
"Sabaton",2003-08-16 00:00:00.000,"Himlarocken","Leksand, Sweden",16
"Sabaton",2003-11-01 00:00:00.000,"Kryptan","Orsa, Sweden",15
"Sabaton",2004-05-05 00:00:00.000,"Lugnet","Falun, Dalarna, Sweden",14
"Sabaton",2004-07-07 00:00:00.000,"Vansbro Open Air","Vansbro, Sweden",13
"Sabaton",2004-09-04 00:00:00.000,"Folkets Park","Gagnef, Sweden",12
"Sabaton",2005-05-20 00:00:00.000,"Café Giljotin","Uddevalla, Sweden",10
"Sabaton",2005-05-28 00:00:00.000,"Vilda Villekulla","Insjön, Sweden",9
"Sabaton",2005-06-10 00:00:00.000,"Norje Havsbad","Norje, Blekinge, Sweden",7
"Sabaton",2005-06-18 00:00:00.000,"Underbar","Sandviken, Gävleborg, Sweden",6
"Sabaton",2005-08-06 00:00:00.000,"Folkets Park","Hultsfred, Kalmar, Sweden",5
"Sabaton",2005-09-10 00:00:00.000,"Karateklubb","Emmaboda, Sweden",3
"Sabaton",2005-09-17 00:00:00.000,"Juz Live Club","Andernach, Germany",2
"Sabaton",2005-09-30 00:00:00.000,"Tallink Galaxy","Stockholm, Stockholm, Sweden",1
"Judas Priest / Sabaton",2024-09-21 00:00:00.000,"Alliant Energy Powerhouse","Cedar Rapids, Iowa, United States",2007
"Judas Priest / Sabaton",2024-09-21 00:00:00.000,"Alliant Energy Powerhouse","Cedar Rapids, Iowa, United States",2006
"Judas Priest / Sabaton",2024-09-22 00:00:00.000,"Denny Sanford Premier Center","Sioux Falls, South Dakota, United States",2005
"Judas Priest / Sabaton",2024-09-24 00:00:00.000,"Mayo Civic Center Arena","Rochester, Minnesota, United States",2004
"Judas Priest / Sabaton",2024-09-25 00:00:00.000,"Baxter Arena","Omaha, Nebraska, United States",2003
"Judas Priest / Sabaton",2024-09-27 00:00:00.000,"BMO Center","Rockford, Illinois, United States",2002
"Judas Priest / Sabaton",2024-09-27 00:00:00.000,"BMO Harris Bank Center","Rockford, Illinois, United States",2001
"Judas Priest / Sabaton",2024-10-01 00:00:00.000,"Cable Dahmer Arena","Independence, Missouri, United States",2000
"Judas Priest / Sabaton",2024-10-01 00:00:00.000,"Cable Dahmer Arena","Independence, MO, US",1999
"Judas Priest / Sabaton",2024-10-03 00:00:00.000,"First Interstate Arena At MetraPark","Billings, Montana, United States",1998
"Judas Priest / Sabaton",2024-10-05 00:00:00.000,"Hero Arena, Mountain America Center","Idaho Falls, Idaho, United States",1997
"Judas Priest / Sabaton",2024-10-05 00:00:00.000,"Mountain America Center","Idaho Falls, Idaho, United States",1996
"Judas Priest / Sabaton",2024-10-06 00:00:00.000,"Spokane Arena","Spokane, Washington, United States",1995
"Judas Priest / Sabaton",2024-10-09 00:00:00.000,"Angel of the Winds Arena","Everett, Washington, United States",1994
"Judas Priest / Sabaton",2024-10-10 00:00:00.000,"Rose Garden Arena Theater in the Clouds","Portland, Oregon, United States",1993
"Judas Priest / Sabaton",2024-10-10 00:00:00.000,"Theater of the Clouds, Moda Center, Rose Quarter","Portland, Oregon, United States",1992
"Judas Priest / Sabaton",2024-10-13 00:00:00.000,"Gold Country Casino","Reno, Nevada, United States",1989
"Judas Priest / Sabaton",2024-10-13 00:00:00.000,"Grand Sierra Resort","Reno, Nevada, United States",1988
"Judas Priest / Sabaton",2024-10-15 00:00:00.000,"YouTube Theater","Inglewood, California, United States",1987
"Judas Priest / Sabaton",2024-10-16 00:00:00.000,"Bakkt Theater, Planet Hollywood Resort & Casino","Las Vegas, Nevada, United States",1986
"Judas Priest / Sabaton",2024-10-18 00:00:00.000,"Arizona Financial Theatre","Phoenix, Arizona, United States",1985
"Judas Priest / Sabaton",2024-10-20 00:00:00.000,"Blue Arena","Loveland, Colorado, United States",1984
"Judas Priest / Sabaton",2024-10-22 00:00:00.000,"Smart Financial Centre at Sugar Land","Sugar Land, Texas, United States",1983
"Judas Priest / Sabaton",2024-10-24 00:00:00.000,"Germania Insurance Amphitheater","Austin, Texas, United States",1982
"Judas Priest / Sabaton",2024-10-26 00:00:00.000,"The Pavilion at Toyota Music Factory","Irving, Texas, United States",1981
"Judas Priest / Sabaton",2024-04-24 00:00:00.000,"Cross insurance Center","Bangor, Maine, United States",1980
"Judas Priest / Sabaton",2024-04-25 00:00:00.000,"MGM Music Hall at Fenway","Boston, Massachusetts, United States",1979
"Judas Priest / Sabaton",2024-04-27 00:00:00.000,"Covelli Centre","Youngstown, Ohio, United States",1978
"Judas Priest / Sabaton",2024-04-28 00:00:00.000,"Everwise Amphitheater at White River State Park","Indianapolis, Indiana, United States",1977
"Judas Priest / Sabaton",2024-05-01 00:00:00.000,"Rosemont Theatre","Rosemont, Illinois, United States",1976
"Judas Priest / Sabaton",2024-05-02 00:00:00.000,"Armory","Minneapolis, Minnesota, United States",1975
"Judas Priest / Sabaton",2024-05-04 00:00:00.000,"Wings Event Center","Kalamazoo, Michigan, United States",1974
"Judas Priest / Sabaton",2024-05-05 00:00:00.000,"Saint Louis Music Park, Centene Community Ice Center","Maryland Heights, Missouri, United States",1973
"Judas Priest / Sabaton",2024-05-07 00:00:00.000,"Propst Arena, Von Braun Center","Huntsville, Alabama, United States",1972
"Judas Priest / Sabaton",2024-05-11 00:00:00.000,"Ameris Bank Amphitheatre","Atlanta, Georgia, United States",1971
"Judas Priest / Sabaton",2024-05-11 00:00:00.000,"Ameris Bank Amphitheatre","Alpharetta, Georgia, United States",1970
"Judas Priest / Sabaton",2024-05-12 00:00:00.000,"Mobile Civic Center Arena","Mobile, AL, US",1969
"Judas Priest / Sabaton",2024-05-12 00:00:00.000,"Mobile Civic Center Arena","Mobile, Alabama, United States",1968
"Judas Priest / Sabaton",2024-05-14 00:00:00.000,"PNC Music Pavillon","Charlotte, North Carolina, United States",1967
"Judas Priest / Sabaton",2024-05-14 00:00:00.000,"PNC Music Pavilion","Charlotte, North Carolina, United States",1966
"Judas Priest / Sabaton",2024-05-17 00:00:00.000,"Ford Center","Evansville, Indiana, United States",1965
"Judas Priest / Sabaton",2024-05-19 00:00:00.000,"The Theater at MGM","Oxon Hill, Maryland, United States",1964
"Judas Priest / Sabaton",2024-05-19 00:00:00.000,"The Theater at Mgm National Harbor","National Harbor, Maryland, United States",1963
"Judas Priest / Sabaton",2024-05-21 00:00:00.000,"MVP Arena","Albany, New York, United States",1962
"Judas Priest / Sabaton",2024-05-22 00:00:00.000,"Empower Federal Credit Union Amphitheater at Lakeview","Syracuse, New York, United States",1961
"Judas Priest / Sabaton",2024-09-13 00:00:00.000,"Bell Centre","Montreal, Quebec, Canada",1960
"Judas Priest / Sabaton",2024-09-14 00:00:00.000,"Fallsview Casino Resort","Niagara Falls, Ontario, Canada",1959
"Judas Priest / Sabaton",2024-09-14 00:00:00.000,"OLG Stage at Fallsview Casino","Niagara Falls, Ontario, Canada",1958
"Judas Priest / Sabaton",2024-09-17 00:00:00.000,"Michigan Lottery Amphitheatre at Freedom Hill","Sterling Heights, Michigan, United States",1957
"Judas Priest / Sabaton",2024-09-19 00:00:00.000,"Miller High Life Theatre","Milwaukee, Wisconsin, United States",1956
"Judas Priest / Sabaton",2023-09-27 00:00:00.000,"Cable Dahmer Arena","Independence, MO, US",1938
"Judas Priest / Sabaton",2024-04-18 00:00:00.000,"Oakdale Theatre","Wallingford, Connecticut, United States",1934
"Judas Priest / Sabaton",2024-04-18 00:00:00.000,"Toyota Oakdale Theatre","Wallingford, Connecticut, United States",1933
"Judas Priest / Sabaton",2024-04-19 00:00:00.000,"Prudential Center","Newark, New Jersey, United States",1932
"Judas Priest / Sabaton",2024-04-21 00:00:00.000,"Santander Performing Arts Center","Reading, Pennsylvania, United States",1931
"Judas Priest / Sabaton",2024-04-21 00:00:00.000,"Santander Area","Reading, Pennsylvania, United States",1930
"Judas Priest / Sabaton",2024-04-21 00:00:00.000,"Santander Arena","Reading, Pennsylvania, United States",1929
"Judas Priest / Sabaton",2023-04-27 00:00:00.000,"Covelli Centre","Youngstown, Ohio, United States",1911
"Judas Priest / Sabaton",2021-10-06 00:00:00.000,"Microsoft Theater, L.A. Live","Los Angeles, California, United States",1748
"Judas Priest / Sabaton",2021-10-13 00:00:00.000,"H-E-B Center at Cedar Park","Cedar Park, Texas, United States",1747
"Judas Priest / Sabaton",2021-09-08 00:00:00.000,"Santander Arena","Reading, Pennsylvania, United States",1721
"Judas Priest / Sabaton",2021-09-08 00:00:00.000,"The Theater at Santander Arena","Reading, Pennsylvania, United States",1720
"Judas Priest / Sabaton",2021-09-13 00:00:00.000,"PNC Music Pavilion","Charlotte, North Carolina, United States",1714
"Judas Priest / Sabaton",2021-09-14 00:00:00.000,"Red Hat Amphitheater","Raleigh, North Carolina, United States",1713
"Judas Priest / Sabaton",2021-09-16 00:00:00.000,"Van Andel Arena","Grand Rapids, Michigan, United States",1712
"Judas Priest / Sabaton",2021-09-17 00:00:00.000,"Covelli Centre","Youngstown, Ohio, United States",1711
"Judas Priest / Sabaton",2021-09-19 00:00:00.000,"Fox Theatre Detroit","Detroit, Michigan, United States",1710
"Judas Priest / Sabaton",2021-09-20 00:00:00.000,"Rosemont Theatre","Chicago, Illinois, United States",1709
"Judas Priest / Sabaton",2021-09-20 00:00:00.000,"Rosemont Theatre","Rosemont, Illinois, United States",1708
"Judas Priest / Sabaton",2021-09-22 00:00:00.000,"Miller High Life Theatre","Milwaukee, Wisconsin, United States",1707
"Judas Priest / Sabaton",2021-09-23 00:00:00.000,"Armory","Minneapolis, Minnesota, United States",1700
"Judas Priest / Sabaton",2021-09-25 00:00:00.000,"Saint Louis Music Park, Centene Community Ice Center","Maryland Heights, Missouri, United States",1699
"Judas Priest / Sabaton",,"Mission Ballroom","Denver, Colorado, United States",1693
"Judas Priest / Sabaton",2011-08-09 00:00:00.000,"o2 World Berlin","Berlin, Berlin, Germany",527
"Judas Priest / Sabaton",2011-08-09 00:00:00.000,"Mercedes-Benz Arena","Berlin, Berlin, Germany",526
"Sabaton / Pop Evil / Wings of Steel",2026-03-12 00:00:00.000,"MGM Music Hall at Fenway","Boston, Massachussets, United Statesi",2091
"Sabaton / Pop Evil / Wings of Steel",2026-04-11 00:00:00.000,"The Theatre at Great Canadian Casino Resort","Toronto, Ontario, Canada",2084
"Sabaton / Pop Evil / Wings of Steel",2026-04-14 00:00:00.000,"Burton Cummings Theatre","Winnipeg, Manitoba, Canada",2083
"Sabaton / Pop Evil / Wings of Steel",2026-04-18 00:00:00.000,"Grey Eagle Event Centre","Calgary, Alberta, Canada",2081
"Rock im Park 2026",2026-06-07 00:00:00.000,"Zeppelinfeld","Nuremberg, Bavaria, Germany",2079
"Rock im Park 2026",2026-06-05 00:00:00.000,"Zeppelinfeld","Nuremberg, Bavaria, Germany",2079
"Rock am Ring 2026",2026-06-07 00:00:00.000,"Nürburgring","Nürburg, Rheinland-Pfalz, Germany",2078
"Rock am Ring 2026",2026-06-05 00:00:00.000,"Nürburgring","Nürburg, Rheinland-Pfalz, Germany",2078
"Sabaton / Iron Maiden / The Offspring / A Perfect Circle / Hollywood Undead / Social Distortion",,"Zeppelinfeld","Nuremberg, Bavaria, Germany",2077
"Sabaton / Iron Maiden / The Offspring / A Perfect Circle / Hollywood Undead / Social Distortion",,"Nürburgring","Nürburg, Rheinland-Pfalz, Germany",2076
"Nova Rock Festival 2026",2026-06-14 00:00:00.000,"Pannonia Fields","Nickelsdorf, Burgenland, Austria",2075
"Nova Rock Festival 2026",2026-06-11 00:00:00.000,"Pannonia Fields","Nickelsdorf, Burgenland, Austria",2075
"Nova Rock Festival",,"Pannonia Fields","Nickelsdorf, Burgenland, Austria",2074
"Sabaton / Pop Evil / Wings of Steel",2026-02-10 00:00:00.000,"Yuengling Center","Tampa, Florida, United States",2068
"Sabaton / Pop Evil / Wheels Of Steel",2026-02-18 00:00:00.000,"Arizona Financial Theatre","Phoenix, Arizona, United States",2064
"Sabaton / Pop Evil / Wings of Steel",2026-03-04 00:00:00.000,"The Salt Shed","Chicago, Illinois, United States",2055
"Sabaton / The Legendary Orchestra",2025-11-20 00:00:00.000,"Olympiahalle","Munich, Bavaria, Germany",2047
"Sabaton / The Legendary Orchestra",2025-12-01 00:00:00.000,"Ziggo Dome","Amsterdam, North Holland, Netherlands",2039
"Sabaton / The Legendary Orchestra",2025-12-08 00:00:00.000,"ZAG-Arena","Hanover, Lower Saxony, Germany",2034
"Bangers Open Air 2025",2025-05-04 00:00:00.000,"Memorial da América Latina","São Paulo, São Paulo, Brazil",2030
"Bangers Open Air 2025",2025-05-02 00:00:00.000,"Memorial da América Latina","São Paulo, São Paulo, Brazil",2030
"Bangers Open Air 2025",2025-05-04 00:00:00.000,"SÃO PAULO SP BR","Memorial da América latina",2029
"Bangers Open Air 2025",2025-05-03 00:00:00.000,"SÃO PAULO SP BR","Memorial da América latina",2029
"Bangers Open Air 2025",2025-05-04 00:00:00.000,"Memorial da América Latina","São Paulo, São Paulo, Brazil",2028
"Bangers Open Air 2025",2025-05-03 00:00:00.000,"Memorial da América Latina","São Paulo, São Paulo, Brazil",2028
"Bangers Open Air 2025",2025-05-04 00:00:00.000,"Memorial da América Latina","São Paulo, São Paulo, Brazil",2027
"Bangers Open Air 2025",2025-05-03 00:00:00.000,"Memorial da América Latina","São Paulo, São Paulo, Brazil",2027
"Sabaton / Lörihen / InnerForce",2025-05-06 00:00:00.000,"El Teatro Flores","Buenos Aires, Buenos Aires F.D., Argentina",2025
"Sabaton / Carcass / Paradise Lost / Nile / Voivod / Kerry King",2025-05-11 00:00:00.000,"Movistar Arena","Santiago, Santiago Metropolitan, Chile",2023
"Sabaton / Paradise Lost",2025-05-13 00:00:00.000,"Pepper's Club","San José, San José, Costa Rica",2022
"Sabaton / Burning Witches",2025-05-15 00:00:00.000,"MARTE, Museo de Arte de El Salvador","San Salvador, El Salvador",2021
"Sabaton / Ne Obliviscaris / Heathen / Burning Witches",2025-05-17 00:00:00.000,"Concha Acústica Del Parque Agua Azul","Guadalajara, Jalisco, Mexico",2020
"Sweden Rock Festival 2025",2025-06-07 00:00:00.000,"","Norje, Blekinge, Sweden",2019
"Sweden Rock Festival 2025",2025-06-04 00:00:00.000,"","Norje, Blekinge, Sweden",2019
"Sweden Rock Festival 2025",2025-06-07 00:00:00.000,"Sweden Rock Festival Grounds","Sölvesborg, Blekinge, Sweden",2018
"Sweden Rock Festival 2025",2025-06-04 00:00:00.000,"Sweden Rock Festival Grounds","Sölvesborg, Blekinge, Sweden",2018
"Sweden Rock Festival",2025-06-07 00:00:00.000,"Sweden Rock Festival Grounds","Solvesborg, Sweden",2017
"Sweden Rock Festival 2025 - Day 4",2025-06-07 00:00:00.000,"Norje Festival Grounds","Norje, Blekinge, Sweden",2016
"Sabaton / Papaplatte / Dilara / Masha",2025-08-21 00:00:00.000,"Messehalle","Cologne, North Rhine-Westphalia, Germany",2015
"Sabaton / Amaranthe",2025-09-03 00:00:00.000,"Hindley Street Music Hall","Adelaide, South Australia, Australia",2013
"Sabaton / Aramanthe",2025-09-05 00:00:00.000,"Margaret Court Arena","Melbourne, Victoria, Australia",2012
"Sabaton / Amaranthe",2025-09-05 00:00:00.000,"Margaret Court Arena","Melbourne, Victoria, Australia",2011
"Sabaton / Amaranthe",2025-09-07 00:00:00.000,"Fortitude Music Hall","Brisbane, Queensland, Australia",2009
"Sabaton / Lordi / BABYMETAL",2023-05-05 00:00:00.000,"Mercedes-Benz Arena","Berlin, Berlin, Germany",1955
"Sabaton / BABYMETAL / Lordi",2023-05-06 00:00:00.000,"Quarterback Immobilien Arena","Leipzig, Saxony, Germany",1954
"Sabaton / Lordi / BABYMETAL",2023-05-07 00:00:00.000,"Halle D, Wiener Stadthalle","Vienna, Vienna, Austria",1953
"Sabaton / Lordi / BABYMETAL",2023-05-07 00:00:00.000,"Wiener Stadthalle - Halle D","Vienna, Vienna, Austria",1952
"Sabaton / BABYMETAL / Lordi",2023-05-09 00:00:00.000,"Atlas Arena","Lodz, Łódź Voivodeship, Poland",1951
"Sabaton / BABYMETAL / Lordi",2023-05-10 00:00:00.000,"Ostravar Arena","Ostrava, Moravskoslezský, Czechia",1950
"Sabaton / Lordi / BABYMETAL",2023-05-12 00:00:00.000,"Lanxess Arena","Cologne, North Rhine-Westphalia, Germany",1949
"Sabaton / BABYMETAL / Lordi",2023-05-13 00:00:00.000,"Sportpaleis Antwerpen (Antwerp Sports Palace)","Antwerp, Flanders, Belgium",1948
"Sabaton / BABYMETAL / Lordi",2023-05-15 00:00:00.000,"Olympiahalle","Munich, Bavaria, Germany",1947
"Sabaton / BABYMETAL / Lordi",2023-05-18 00:00:00.000,"Unibet Arena","Tallinn, Estonia",1946
"Sabaton / Lordi / BABYMETAL",2023-05-19 00:00:00.000,"Helsinki Ice Arena","Helsinki, Uusimaa, Finland",1944
"Greenfield Festival 2023 @ Flugplatz Interlaken",2023-06-10 00:00:00.000,"Flugplatz Interlaken","Interlaken, Switzerland",1942
"Greenfield Festival 2023 @ Flugplatz Interlaken",2023-06-08 00:00:00.000,"Flugplatz Interlaken","Interlaken, Switzerland",1942
"Greenfield Festival 2023",2023-06-10 00:00:00.000,"Flugplatz Interlaken","Interlaken, Bern, Switzerland",1941
"Greenfield Festival 2023",2023-06-08 00:00:00.000,"Flugplatz Interlaken","Interlaken, Bern, Switzerland",1941
"Greenfield Festival",2023-06-10 00:00:00.000,"Flugplatz Interlaken","Interlaken, Bern, Switzerland",1940
"Greenfield Festival",2023-06-08 00:00:00.000,"Flugplatz Interlaken","Interlaken, Bern, Switzerland",1940
"Sabaton / Hulkoff",2023-02-18 00:00:00.000,"Motala Lokverkstad","Motala, Sweden",1928
"Sabaton / Hulkoff",2023-02-25 00:00:00.000,"Sparbanken Skåne Arena","Lund, Skåne, Sweden",1923
"Sabaton / Lordi / BABYMETAL",2023-04-14 00:00:00.000,"First Direct Arena","Leeds, England, United Kingdom",1922
"Sabaton / BABYMETAL / Lordi",2023-04-15 00:00:00.000,"OVO Arena Wembley","London, England, United Kingdom",1921
"Sabaton / BABYMETAL / Lordi",2023-04-16 00:00:00.000,"Cardiff International Arena","Cardiff, Wales, United Kingdom",1920
"Sabaton / BABYMETAL / Lordi",2023-04-18 00:00:00.000,"OVO Hydro","Glasgow, Scotland, United Kingdom",1919
"Sabaton / BABYMETAL / Lordi",2023-04-21 00:00:00.000,"Zénith Paris - La Villette","Paris, Île-de-France, France",1917
"Sabaton / Baby Metal / Lordi",2023-04-22 00:00:00.000,"Zénith Paris - La Villette","Paris, Île-de-France, France",1915
"Sabaton / BABYMETAL / Lordi",2023-04-22 00:00:00.000,"Festhalle Messe Frankfurt","Frankfurt am Main, Hesse, Germany",1914
"Sabaton / BABYMETAL / Lordi",2023-04-24 00:00:00.000,"Barclays Arena","Hamburg, Hamburg, Germany",1913
"Sabaton / Lordi / BABYMETAL",2023-04-25 00:00:00.000,"Rockhal","Esch-sur-Alzette, Esch-sur-Alzette, Luxembourg",1912
"Sabaton / BABYMETAL / Lordi",2023-04-28 00:00:00.000,"Avicii Arena","Stockholm, Stockholm, Sweden",1910
"Sabaton / BABYMETAL / Lordi",2023-04-29 00:00:00.000,"Oslo Spektrum","Oslo, Oslo, Norway",1909
"Sabaton / Lordi / BABYMETAL",2023-04-30 00:00:00.000,"Royal Arena","Copenhagen, Capital Region, Denmark",1908
"Sabaton / BABYMETAL / Lordi",2023-05-02 00:00:00.000,"ZAG-Arena","Hanover, Lower Saxony, Germany",1907
"Sabaton / Lordi / BABYMETAL",2023-05-03 00:00:00.000,"Ziggo Dome","Amsterdam, North Holland, Netherlands",1906
"Sabaton / Epica",2022-10-23 00:00:00.000,"Hammerstein Ballroom, Manhattan Center","New York, New York, United States",1905
"Good things 2022",2022-12-02 00:00:00.000,"Melbourne Showgrounds","Melbourne, Victoria, Australia",1904
"Good things 2022",2022-12-02 00:00:00.000,"Flemington Racecourse","Melbourne, Victoria, Australia",1903
"Good things 2022",2022-12-02 00:00:00.000,"Flemington Racecourse","Melbourne, Victoria, Australia",1902
"Good Things Festival 2022",2022-12-02 00:00:00.000,"Flemington Racecourse","Melbourne, Victoria, Australia",1901
"Good Things Festival Sydney 2022",2022-12-03 00:00:00.000,"Centennial Park","Sydney, New South Wales, Australia",1900
"Good Things Festival 2022",2022-12-03 00:00:00.000,"Centennial Park","Randwick, NSW, Australia",1899
"Good things 2022",2022-12-03 00:00:00.000,"Centennial Park","Sydney, New South Wales, Australia",1898
"Good Things Festival",2022-12-03 00:00:00.000,"Centennial Parklands","Sydney, New South Wales, Australia",1897
"Good Things Festival 2022",2022-12-03 00:00:00.000,"Centennial Park","Sydney, New South Wales, Australia",1896
"Good Things | Sydney 2022",2022-12-03 00:00:00.000,"Centennial Park","Sydney, New South Wales, Australia",1895
"Good things 2022",2022-12-04 00:00:00.000,"Brisbane Showgrounds","Fortitude Valley, QLD, Australia",1894
"Good things 2022",2022-12-04 00:00:00.000,"Brisbane Showgrounds","Bowen Hills, Queensland, Australia",1893
"Good Things Festival 2022",2022-12-04 00:00:00.000,"RNA Showgrounds","Brisbane, Queensland, Australia",1892
"Good Things Festival 2022",2022-12-04 00:00:00.000,"Brisbane Showgrounds","Bowen Hills, Queensland, Australia",1891
"Good Things | Brisbane 2022",2022-12-04 00:00:00.000,"Brisbane Showgrounds","Bowen Hills, Queensland, Australia",1890
"Sabaton Cruise",2022-12-15 00:00:00.000,"Tallink Silja Line- Baltic Princess","Turku, Finland",1889
"Sabaton Cruise",2022-12-14 00:00:00.000,"Tallink Silja Line- Baltic Princess","Turku, Finland",1889
"Sabaton / Hulkoff",2023-02-04 00:00:00.000,"Lindesbergs Arena","Lindesberg, Sweden",1882
"Sabaton / Hulkoff",2023-02-09 00:00:00.000,"Rosvalla","Nyköping, Sweden",1879
"Sabaton / Epica",2022-09-21 00:00:00.000,"Fox Theater","Oakland, California, United States",1872
"Sabaton / Epica",2022-09-23 00:00:00.000,"Hollywood Palladium","Los Angeles, California, United States",1871
"Sabaton / Epica",2022-09-24 00:00:00.000,"Arizona Financial Theatre","Phoenix, Arizona, United States",1870
"Sabaton / Epica",2022-09-24 00:00:00.000,"Arizona Federal Theatre","Phoenix, Arizona, United States",1869
"Sabaton / Epica",2022-09-25 00:00:00.000,"Brooklyn Bowl, The LINQ Promenade","Las Vegas, Nevada, United States",1868
"Sabaton / Epica",2022-09-27 00:00:00.000,"The Complex","Salt Lake City, Utah, United States",1867
"Sabaton / Epica",2022-09-28 00:00:00.000,"Fillmore Auditorium","Denver, Colorado, United States",1866
"Sabaton / Epica",2022-09-30 00:00:00.000,"South Side Ballroom","Dallas, Texas, United States",1865
"Sabaton / Epica",2022-10-01 00:00:00.000,"Bayou Music Center","Houston, Texas, United States",1864
"Sabaton / Epica",2022-10-04 00:00:00.000,"Tabernacle","Atlanta, Georgia, United States",1862
"Sabaton / Epica",2022-10-06 00:00:00.000,"The Fillmore Silver Spring","Silver Spring, Maryland, United States",1861
"Sabaton / Epica",2022-10-08 00:00:00.000,"Andrew J. Brady Music Center","Cincinnati, Ohio, United States",1860
"Sabaton / Epica",2022-10-10 00:00:00.000,"The Fillmore Detroit","Detroit, Michigan, United States",1859
"Sabaton / Epica",2022-10-11 00:00:00.000,"GLC Live at 20 Monroe","Grand Rapids, Michigan, United States",1858
"Sabaton / Epica",2022-10-13 00:00:00.000,"The Fillmore Minneapolis","Minneapolis, Minnesota, United States",1857
"Sabaton / Epica",2022-10-15 00:00:00.000,"Byline Bank Aragon Ballroom","Chicago, Illinois, United States",1856
"Sabaton / Epica",2022-10-17 00:00:00.000,"Stage AE","Pittsburgh, Pennsylvania, United States",1855
"Sabaton / Epica",2022-10-18 00:00:00.000,"The Fillmore Philadelphia","Philadelphia, Pennsylvania, United States",1854
"Sabaton / Epica",2022-10-21 00:00:00.000,"MGM Music Hall at Fenway","Boston, Massachusetts, United States",1853
"Sabaton / Epica",2022-10-22 00:00:00.000,"Place Bell","Laval, Quebec, Canada",1852
"Resurrection Fest",2022-07-01 00:00:00.000,"Resurrection Fest Grounds","Viveiro, Galicia, Spain",1851
"Deadly Apples / The Raven Age / Me And That Man / Epica / Rise against / Sabaton",2022-07-02 00:00:00.000,"Estádio Nacional do jamor","Lisbon, Lisbon, Portugal",1850
"Hills Of Rock Festival 2022",2022-07-21 00:00:00.000,"Plovdiv Rowing Canal","Plovdiv, Plovdiv, Bulgaria",1848
